CustomerID,Cluster
C0001,2
C0002,4
C0003,3
C0004,0
C0005,2
C0006,1
C0007,2
C0008,3
C0009,4
C0010,4
C0011,1
C0012,3
C0013,6
C0014,5
C0015,1
C0016,4
C0017,0
C0018,0
C0019,1
C0020,2
C0021,0
C0022,6
C0023,0
C0024,0
C0025,5
C0026,2
C0027,1
C0028,7
C0029,4
C0030,4
C0031,5
C0032,1
C0033,4
C0034,6
C0035,2
C0036,1
C0037,3
C0038,3
C0039,7
C0040,4
C0041,0
C0042,4
C0043,1
C0044,1
C0045,7
C0046,0
C0047,0
C0048,2
C0049,6
C0050,2
C0051,7
C0052,5
C0053,6
C0054,7
C0055,2
C0056,4
C0057,0
C0058,4
C0059,3
C0060,5
C0061,4
C0062,4
C0063,1
C0064,1
C0065,3
C0066,2
C0067,6
C0068,7
C0069,2
C0070,1
C0071,1
C0072,2
C0073,1
C0074,1
C0075,0
C0076,3
C0077,4
C0078,1
C0079,3
C0080,5
C0081,0
C0082,0
C0083,4
C0084,7
C0085,1
C0086,3
C0087,0
C0088,4
C0089,5
C0090,0
C0091,7
C0092,4
C0093,6
C0094,1
C0095,2
C0096,7
C0097,5
C0098,6
C0099,6
C0100,3
C0101,0
C0102,7
C0103,4
C0104,3
C0105,7
C0106,4
C0107,4
C0108,6
C0109,6
C0110,5
C0111,4
C0112,2
C0113,3
C0114,7
C0115,2
C0116,1
C0117,1
C0118,1
C0119,2
C0120,2
C0121,1
C0122,0
C0123,1
C0124,3
C0125,1
C0126,0
C0127,2
C0128,5
C0129,4
C0130,2
C0131,1
C0132,1
C0133,4
C0134,4
C0135,1
C0136,3
C0137,1
C0138,3
C0139,0
C0140,2
C0141,6
C0142,1
C0143,6
C0144,4
C0145,6
C0146,2
C0147,0
C0148,7
C0149,6
C0150,4
C0151,5
C0152,3
C0153,0
C0154,2
C0155,0
C0156,0
C0157,2
C0158,3
C0159,5
C0160,3
C0161,0
C0162,7
C0163,3
C0164,3
C0165,0
C0166,5
C0167,1
C0168,1
C0169,0
C0170,3
C0171,0
C0172,3
C0173,0
C0174,1
C0175,0
C0176,4
C0177,1
C0178,5
C0179,3
C0181,2
C0182,3
C0183,4
C0184,2
C0185,1
C0186,2
C0187,1
C0188,7
C0189,3
C0190,2
C0191,1
C0192,2
C0193,1
C0194,0
C0195,3
C0196,3
C0197,2
C0198,4
C0199,2
C0200,6
