CustomerID,SimilarCustomers
C0001,"[('C0068', 0.9999999736791593), ('C0005', 0.9999999718873365), ('C0069', 0.9999999630841943)]"
C0002,"[('C0029', 0.9999999687654758), ('C0034', 0.9999999453050755), ('C0030', 0.9999999357974154)]"
C0003,"[('C0136', 0.9999999566305934), ('C0160', 0.9999999081803342), ('C0038', 0.999999875297705)]"
C0004,"[('C0175', 0.9999999870087529), ('C0169', 0.9999999781031476), ('C0017', 0.9999999743968512)]"
C0005,"[('C0001', 0.9999999718873365), ('C0069', 0.9999999547072819), ('C0120', 0.9999999418665305)]"
C0006,"[('C0171', 0.999999995837991), ('C0117', 0.9999999889748754), ('C0082', 0.9999999745756549)]"
C0007,"[('C0048', 0.9999999825187007), ('C0026', 0.9999999545021121), ('C0105', 0.9999999544370766)]"
C0008,"[('C0076', 0.9999999609577498), ('C0047', 0.9999998954130854), ('C0172', 0.9999998921872101)]"
C0009,"[('C0198', 0.9999992710393585), ('C0098', 0.9999987598392182), ('C0103', 0.9999987557111694)]"
C0010,"[('C0134', 0.9999993561092773), ('C0111', 0.9999993459411507), ('C0091', 0.999999321805686)]"
C0011,"[('C0057', 0.9999999978327352), ('C0173', 0.9999999938465263), ('C0153', 0.9999999907079332)]"
C0012,"[('C0065', 0.9999999797625743), ('C0182', 0.9999999657618706), ('C0041', 0.9999999626438362)]"
C0013,"[('C0099', 0.9999999914391995), ('C0183', 0.9999999801050552), ('C0059', 0.9999999750143178)]"
C0014,"[('C0025', 0.9999958848257046), ('C0128', 0.9999952756504633), ('C0031', 0.9999950314366782)]"
C0015,"[('C0063', 0.9999999373227926), ('C0131', 0.9999999113340684), ('C0177', 0.999999874186083)]"
C0016,"[('C0042', 0.9999999831268909), ('C0061', 0.999999946404362), ('C0023', 0.9999999309597479)]"
C0017,"[('C0004', 0.9999999743968512), ('C0175', 0.9999999694474441), ('C0174', 0.9999999538435604)]"
C0018,"[('C0041', 0.9999999943335435), ('C0070', 0.9999999636148479), ('C0101', 0.9999999633743739)]"
C0019,"[('C0147', 0.9999999053507981), ('C0043', 0.9999998679936388), ('C0047', 0.9999998202732094)]"
C0020,"[('C0007', 0.9999997428966279), ('C0005', 0.999999730347233), ('C0120', 0.9999996842227393)]"
